a, bir
abandon, çökmek
abandoned, ahlaksız
abbreviate, kısaltmak
abdomen, göbek
abet, alevlendirmek
abide, beklemek
abiding, artık
abject, alçak
abjection, alçaklık
ablaze, alevli
able, muktedir
abnormal, anormal
abolish, feshetmek
abortive, abes
about, ait
abridge, kısaltmak
stamp, pul
visit, ziyaret
animal, hayvan
autmn, sonbahar
colour, renk
poor, fakir
science, bilim
van, karavan
eagle, kartal
egg, yumurta
computer, bilgisayar
history, tarih
country, ülke
fridge, buzdolab
map, harita
evaluation, degerlendirme
occupation, meslek
mosque, cami
intelligence, zeka
neccessary, gerekli
